"RentStation","ReturnStation","Riderships","Date"
2,17,2,2019-11-11
2,17,2,2019-11-15
2,17,2,2019-11-13
2,18,20,2019-11-11
2,18,4,2019-11-15
2,18,6,2019-11-13
2,19,2,2019-11-11
2,19,6,2019-11-15
2,19,1,2019-11-13
2,20,4,2019-11-11
2,20,3,2019-11-13
2,21,2,2019-11-11
2,21,2,2019-11-15
2,21,1,2019-11-13
2,22,14,2019-11-11
2,22,8,2019-11-15
2,22,3,2019-11-13
2,24,2,2019-11-13
2,25,16,2019-11-11
2,25,8,2019-11-15
2,25,4,2019-11-13
2,26,6,2019-11-11
2,26,4,2019-11-15
2,26,1,2019-11-13
2,27,2,2019-11-11
2,27,1,2019-11-13
2,28,2,2019-11-11
2,28,1,2019-11-13
2,29,3,2019-11-13
2,30,2,2019-11-11
2,30,2,2019-11-15
2,30,2,2019-11-13
2,31,6,2019-11-11
2,32,6,2019-11-15
2,32,2,2019-11-13
2,33,56,2019-11-11
2,33,30,2019-11-15
2,33,6,2019-11-13
2,36,2,2019-11-11
2,36,1,2019-11-13
2,37,4,2019-11-15
2,38,6,2019-11-11
2,38,2,2019-11-15
2,39,2,2019-11-13
2,40,2,2019-11-11
2,42,2,2019-11-11
2,42,4,2019-11-15
2,42,1,2019-11-13
2,45,2,2019-11-11
2,45,6,2019-11-15
2,45,1,2019-11-13
2,47,4,2019-11-11
2,47,1,2019-11-13
2,49,36,2019-11-11
2,49,18,2019-11-15
2,49,8,2019-11-13
2,50,3,2019-11-13
2,53,2,2019-11-11
2,54,1,2019-11-13
2,55,6,2019-11-11
2,55,12,2019-11-15
2,55,6,2019-11-13
2,56,2,2019-11-11
2,57,2,2019-11-15
2,57,2,2019-11-13
2,58,4,2019-11-11
2,58,2,2019-11-15
2,58,1,2019-11-13
2,59,2,2019-11-11
2,61,2,2019-11-13
2,62,4,2019-11-11
2,63,14,2019-11-11
2,63,4,2019-11-15
2,63,1,2019-11-13
2,64,2,2019-11-15
2,70,16,2019-11-11
2,70,22,2019-11-15
2,70,5,2019-11-13
2,71,58,2019-11-11
2,71,48,2019-11-15
2,71,23,2019-11-13
2,72,1,2019-11-13
2,74,1,2019-11-13
2,75,36,2019-11-11
2,75,22,2019-11-15
2,75,22,2019-11-13
2,77,4,2019-11-11
2,77,1,2019-11-13
2,81,2,2019-11-15
2,83,4,2019-11-15
2,85,16,2019-11-11
2,85,16,2019-11-15
2,85,6,2019-11-13
2,86,1,2019-11-13
2,87,6,2019-11-11
2,87,6,2019-11-15
2,87,2,2019-11-13
2,88,6,2019-11-15
2,88,1,2019-11-13
2,90,2,2019-11-15
2,92,2,2019-11-15
2,92,1,2019-11-13
2,93,10,2019-11-11
2,93,6,2019-11-15
2,93,1,2019-11-13
2,94,2,2019-11-11
2,96,2,2019-11-11
2,96,4,2019-11-15
2,97,2,2019-11-11
2,99,2,2019-11-11
2,99,2,2019-11-15
2,100,1,2019-11-13
2,101,2,2019-11-15
2,104,10,2019-11-11
2,105,1,2019-11-13
2,111,8,2019-11-11
2,111,6,2019-11-15
2,111,2,2019-11-13
2,113,52,2019-11-11
2,113,70,2019-11-15
2,113,18,2019-11-13
2,115,4,2019-11-11
2,115,1,2019-11-13
2,121,4,2019-11-15
2,125,2,2019-11-11
2,126,4,2019-11-11
2,126,2,2019-11-15
2,128,8,2019-11-11
2,128,4,2019-11-15
2,130,2,2019-11-11
2,132,4,2019-11-11
2,132,1,2019-11-13
2,138,14,2019-11-11
2,138,2,2019-11-15
2,138,5,2019-11-13
2,139,2,2019-11-11
2,142,1,2019-11-13
2,150,2,2019-11-11
2,156,2,2019-11-15
2,163,6,2019-11-11
2,163,2,2019-11-15
2,163,1,2019-11-13
2,172,2,2019-11-11
2,172,1,2019-11-13
2,173,2,2019-11-11
2,174,8,2019-11-11
2,174,10,2019-11-15
2,174,3,2019-11-13
2,175,6,2019-11-11
2,175,2,2019-11-15
2,175,5,2019-11-13
2,176,2,2019-11-11
2,176,2,2019-11-15
2,176,1,2019-11-13
2,179,2,2019-11-15
2,179,1,2019-11-13
2,181,2,2019-11-11
2,181,1,2019-11-13
2,185,6,2019-11-11
